id;Practice name;Phone 1;Expertise (REHAB / SPORT / WOMEN / VET / AESTHETIC);Address;City;ZIP code;Country;Latitude;longitude
494;SAGE FEMME : TISSOT MARIE;33674386917;"[""Uro & Pelvic Floor""]";42 RUE DE LA REPUBLIQUE;;;;44,18594;0,669445
495;DR SIMONATI MARYSE;33490250251;"[""Rehabilitation""]";45 RUE DES BOSQUETS, LES ANGLES, FRANCE;;;;43,9613742;4,7517127
496;KOFFI JEAN HUBERT;33147333920;"[""Rehabilitation""]";50 RUE GEORGES, 92230 GENNEVILLIERS, FRANCE;;;;48,9153532;2,2989935
497;LAURENT AURELIE ET MAXIME;33645360482;"[""Rehabilitation""]";89BIS PLACE DU 11 NOVEMBRE 1918, ROOST-WARENDIN, FRANCE;;;;50,4177618;3,0923967
498;CLINIQUE VETERINAIRE DE GROSBOIS;33145696539;"[""Rehabilitation""]";DOMAINE DE GROS BOIS, BOISSY-SAINT-LEGER, FRANCE;;;;48,740634;2,536807
499;WILLEMS LAURENT;37797771564;"[""Rehabilitation""]";41 BOULEVARD DES MOULINS, MONACO;;;;43,7446957;7,4289518
500;BOISSONNET SERGE;33442842493;"[""Rehabilitation""]";135 AVENUE MARCEL PAUL, AUBAGNE, FRANCE;;;;43,3018178;5,5753226
501;CORMIER PASCAL;33442870625;"[""Rehabilitation""]";8 AVENUE DE VERDUN, ROGNAC, FRANCE;;;;43,4876151;5,2300088
502;CARRILLO OLIVIER;33473369551;"[""Rehabilitation""]";81 AVENUE DE ROYAT, CHAMALIÈRES, FRANCE;;;;45,7745663;3,0640559
503;SAVERIO MARINA DOTT;;"[""Rehabilitation""]";VIA SAN MARCO, 6, CANALICCHIO, TREMESTIERI ETNEO, PROVINCE OF CATANIA, ITALY;;;;37,5410876;15,1014632
504;VALERO JERÔME;33618085802;"[""Rehabilitation""]";323 RUE JEAN JAURÈS, TOULON, FRANCE;;;;43,1243576;5,9302892
505;AIELLO ANDREA DOTT;;"[""Rehabilitation""]";VICO PENSAVALLE, 6, SAN GIOVANNI LA PUNTA, PROVINCE OF CATANIA, ITALY;;;;37,564095;15,089372
506;AVEROUS PHILIPPE;33561860405;"[""Rehabilitation""]";39 RUE DES FRÈRES, PIBRAC, FRANCE;;;;43,6171011;1,2869879
507;CGM;;"[""Rehabilitation""]";VIA MESSINA, 609, CATANIA, PROVINCE OF CATANIA, ITALY;;;;37,5334815;15,1149448
508;MIKAEL DUBIEF / NONI EMMANUELLE / MAYER ERIC;33556543094;"[""Rehabilitation""]";34 BOULEVARD DE LA PLAGE, ARCACHON, FRANCE;;;;44,6575587;-1,1500627
509;LE PIHIVE PATRICE;33494546789;"[""Rehabilitation"",""Uro & Pelvic Floor""]";RES. L'OREE DU GOLFE, 57 RUE MARCEAU, COGOLIN, FRANCE;;;;43,2480088;6,5339523
510;CINARDO ANDREA DOTT;;"[""Rehabilitation""]";VIA CARINI, 37, CATANIA, PROVINCE OF CATANIA, ITALY;;;;37,524094;15,0974121
511;KINESION DEBOLE PIERO;3,93E+11;"[""Rehabilitation""]";VIA GRAZIA DELEDDA, 21, CATANIA, PROVINCE OF CATANIA, ITALY;;;;37,5265046;15,0838528
512;FORFORELLI GIUSEPPE DOTT;;"[""Rehabilitation""]";VIA GENERALE CASCINO, VITTORIA, PROVINCE OF RAGUSA, ITALY;;;;36,9580594;14,5230867
513;TAMBURO PIETRO;;"[""Rehabilitation""]";VIA PIEMONTE, 64, ENNA, PROVINCE OF ENNA, ITALY;;;;37,5563859;14,2877849
514;GUAGLIARDO FRANCESCO DOTT;;"[""Rehabilitation""]";CATENANUOVA, PROVINCE OF ENNA, ITALY;;;;37,570955;14,6918771
515;D'AGATA ROBERTO GIUSEPPE;;"[""Rehabilitation""]";CORSO ITALIA, 150, ACIREALE, PROVINCE OF CATANIA, ITALY;;;;37,619683;15,162313
516;INDELICATO ALESSIA DOTT;;"[""Rehabilitation""]";CORSO GARIBALDI, 30, VILLAROSA, PROVINCE OF ENNA, ITALY;;;;37,585647;14,176683
517;RIQUOIR MICHEL - MSP FAUBOURG SANTE;33607817043;"[""Rehabilitation""]";190 RUE DE BETHUNE, DOUAI, FRANCE;;;;50,3754098;3,0663347
518;VAZQUEZ VAL ALEJANDRO SPRL;32479219458;"[""Rehabilitation""]";RUE SAINTE-ELISABETH 57, BRUSSELS, BELGIUM;;;;50,8936643;4,418003
519;CENTRUL DE RECUPERARE MEDICALA EIS MED;40232219161;"[""Rehabilitation""]";STRADA LASC?R CATARGI, IA?I, IA?I COUNTY, ROMANIA;;;;47,1751296;27,5774257
520;PRIORITY MEDICAL;40351408366;"[""Rehabilitation""]";STRADA PANDURILOR 33A, CRAIOVA, DOLJ COUNTY, ROMANIA;;;;44,3061421;23,8176826
521;CLINICA RAPITEST;40250717100;"[""Rehabilitation""]";STRADA CALEA LUI TRAIAN, SEACA, VÂLCEA COUNTY, ROMANIA;;;;45,2239467;24,3420979
522;CENTRUL DE RECUPERARE SPA PITESTI;40743434211;"[""Rehabilitation""]";ALEEA SPITALULUI PITE?TI ROUMANIE;;;;44,8721177;24,8484462
523;INFINITY PHYSIO KINETICS;40765958765;"[""Rehabilitation""]";STRADA BALTA ALBINA, BUCHAREST, ROMANIA;;;;44,4085441;26,2124444
524;FIZIOLIFE MEDICA;40755019878;"[""Rehabilitation""]";BULEVARDUL DECEBAL, BUCHAREST, ROMANIA;;;;44,4290906;26,1337939
525;LUIS VALERIO SANCHEZ;;"[""Rehabilitation""]";SAN RAFAEL DE HEREDIA, HEREDIA PROVINCE, COSTA RICA;;;;10,0144716;-84,0986459
526;ANDRES MONTENEGRO;50689908990;"[""Rehabilitation""]";SABANILLA, MONTES DE OCA, SAN JOSE PROVINCE, COSTA RICA;;;;9,9450974;-84,0312817
527;BIO ORTOCLINIC;40217961931;"[""Rehabilitation""]";STRADA GEORGE IONESCU-GION 352A, BUCHAREST, ROMANIA;;;;44,4321792;26,1131879
528;KINETO PRO ACTIV;40217965556;"[""Rehabilitation""]";STRADA BREAZA 6, BUCHAREST, ROMANIA;;;;44,417477;26,132479
529;FIT 4 YOU DOROBANTI;40730333332;"[""Rehabilitation"",""Uro & Pelvic Floor""]";STRADA ATENA 11, BUCHAREST, ROMANIA;;;;44,458596;26,09153
530;FIT 4 YOU PROMENADA;40736007671;"[""Rehabilitation"",""Uro & Pelvic Floor""]";CALEA FLOREASCA 246B, BUCHAREST, ROMANIA;;;;44,4786636;26,1019507
531;CENTRUL DE RECUPAERE MEDICALA PHYSIOKINESIS;40744541501;"[""Rehabilitation""]";BULEVARDUL IONI?? SANDU STURZA 52, BAC?U 600269, ROUMANIE;;;;46,564157;26,905143
532;CABINET ARTKINETIC BRASOV;40724138834;"[""Rehabilitation""]";STRADA MORII 31, BRA?OV 500063, ROUMANIE;;;;45,6596294;25,5842212
533;QUE ME MIMEN;34976343037;"[""Rehabilitation""]";CALLE BERENGUER DE BARDAJÍ, 66, ZARAGOZA, SPAIN;;;;41,6490098;-0,9081403
534;NAVARRO BERNAL FISIOTERAPIA CB;34666664229;"[""Rehabilitation""]";MOTILLA DEL PALANCAR, CALLE LA NORIA, SPAIN;;;;39,5640426;-1,9118191
535;NOBLE CORINNE;33549515725;"[""Rehabilitation""]";48 RUE DES VIEUX CHAMPS, CISSE, FRANCE;;;;46,6426538;0,2334139
536;PUVILLAND FREDDY;33385505977;"[""Rehabilitation""]";8 RUE DE L'HÔPITAL, TRAMAYES, FRANCE;;;;46,3053131;4,6017767
537;MR LAUB BORIS/ MLLE BELIVENT SYLVIE/ MR DELAGE-CALVET ROMAIN;33565217416;"[""Rehabilitation"",""Uro & Pelvic Floor""]";DOUELLE, FRANCE;;;;44,470704;1,361146
538;FEDERATION FRANÇAISE DE SKI;;"[""Sport""]";50 RUE DES MARQUISATS, ANNECY, FRANCE;;;;45,8939219;6,1331407
539;MESTRE JEAN EMMANUEL;33546445142;"[""Rehabilitation""]";15 AVENUE DU LAZARET, LA ROCHELLE, FRANCE;;;;46,1404353;-1,166428
540;GROSU ANCA;33660244070;"[""Rehabilitation""]";22 CLOS DES CASCADES, NOISY-LE-GRAND, FRANCE;;;;48,8419558;2,5476995
541;PRADELEIX LUC;33614614205;"[""Rehabilitation""]";34 AVENUE ISOLA BELLA, CANNES, FRANCE;;;;43,5564917;7,0284064
542;VIGNON PHILIPPE;33147347278;"[""Rehabilitation""]";45 AVENUE DE SEGUR, PARIS, FRANCE;;;;48,8502832;2,3088407
543;MOISA LIVIU;33237811392;"[""Rehabilitation""]";2 AVENUE DU PERCHE, LA LOUPE, FRANCE;;;;48,4665645;1,0091577
544;DALLEST MAXIME;33687403179;"[""Rehabilitation""]";14 AVENUE ROGER SALENGRO, AUBAGNE, FRANCE;;;;43,2974546;5,5690913
545;IZABELLE OLIVIER;33442267702;"[""Rehabilitation""]";28 BOULEVARD DE LA REPUBLIQUE, AIX-EN-PROVENCE, FRANCE;;;;43,5283831;5,4400894
546;MICHELI JEREMY;33603577274;"[""Rehabilitation""]";CENTRE GOMBERT, MARSEILLE, FRANCE;;;;43,3517137;5,4391529
547;BACZKIEWICZ SIMON;33668171246;"[""Rehabilitation""]";3 D RUE FRANCOIS COURTIN;;;;50,4222377;2,7762175
548;LUCAS CECILE;33558750920;"[""Rehabilitation""]";47 ALLEE DES CAROUBIERS, MONT-DE-MARSAN, FRANCE;;;;43,8887442;-0,4949536
549;SALLEZ SEBASTIEN;33254210896;"[""Rehabilitation""]";10 BOULEVARD DE STALINGRAD, ISSOUDUN, FRANCE;;;;46,94961;1,9896325
550;BIRON JEAN CHRISTOPHE;33557926068;"[""Rehabilitation""]";128 AVENUE GEORGES CLEMENCEAU, LE BOUSCAT, FRANCE;;;;44,86552;-0,6198699
551;SCM BLANC/KOENIIG;33491509981;"[""Rehabilitation""]";15 RUE LACEPÈDE, MARSEILLE, FRANCE;;;;43,3049953;5,3982655
552;CLINIQUE DE L'ESTAGNOL;33492935656;"[""Rehabilitation""]";1173 CHEMIN DE RABIAC ESTAGNOL, ANTIBES, FRANCE;;;;43,5893835;7,0979632
553;VINCENSINI PIERRE-LOUIS;33442630933;"[""Rehabilitation""]";34 AVENUE HENRI PONTIER, AIX-EN-PROVENCE, FRANCE;;;;43,533747;5,4425814
554;L HERMITTE JEAN FRANÇOIS;33442630933;"[""Rehabilitation""]";34 AVENUE HENRI PONTIER, AIX-EN-PROVENCE, FRANCE;;;;43,533747;5,4425814
555;LABEILLE THOMAS;33442630933;"[""Rehabilitation""]";34 AVENUE HENRI PONTIER, AIX-EN-PROVENCE, FRANCE;;;;43,533747;5,4425814
556;DETRONDE JEAN;33442630933;"[""Rehabilitation""]";34 AVENUE HENRI PONTIER, AIX-EN-PROVENCE, FRANCE;;;;43,533747;5,4425814
557;LEVERT BERANGÈRE;33561546666;"[""Rehabilitation""]";1 PLACE PIERRE MENDÈS FRANCE, TOULOUSE, FRANCE;;;;43,5873811;1,4617805
558;ANTHEUNIS LAURENT;33298997294;"[""Rehabilitation""]";49 RUE DES CIEUX, HUELGOAT, FRANCE;;;;48,3615722;-3,7468506
559;SCM DU CENTRE CHAMBAUDU/GUENIN/PANIER;33145902888;"[""Rehabilitation""]";33 RUE DE BOISSY, 94370 SUCY-EN-BRIE, FRANCE;;;;48,7673122;2,5228597
560;VASILCAN FLORIN;33238541731;"[""Rehabilitation""]";10 RUE DES MALTOTIERS, ORLEANS, FRANCE;;;;47,9039442;1,8928225
561;JARRY NICOLAS;33559542598;"[""Rehabilitation""]";SARE, FRANCE;;;;43,312739;-1,580979
562;ANCELOT MARIE;33676723315;"[""Rehabilitation""]";21 RUE CLAUDE BERNARD, 72000 LE MANS, FRANCE;;;;48,0217197;0,1639089
563;WATTEAU JULIEN;33675111203;"[""Rehabilitation""]";7 RUE DU 19 MARS 1962, THIANT, FRANCE;;;;50,3025666;3,4453829
564;MOMBO FRANCIS;33467792901;"[""Rehabilitation""]";720 ROUTE DE NÎMES, 34170 CASTELNAU-LE-LEZ, FRANCE;;;;43,6372852;3,9292499
565;GROUPE MEDICAL SARRANCOLI (ELISE DEBERNARD/ AURELIE VIGUEURI / RAPHANEAU DENIS);33562987133;"[""Rehabilitation""]";14 RUE SAINTE-QUITTERIE, SARRANCOLIN, FRANCE;;;;42,9649862;0,3782886
566;SKWARK JOANNA;33466835337;"[""Rehabilitation""]";7 CHEMIN DE PEYRIGOUX, BAGARD, FRANCE;;;;44,0748098;4,0565246
567;REPUSSEAU ELODIE;33641902432;"[""Rehabilitation""]";VITRE, FRANCE;;;;48,1228467;-1,2315216
568;CAUMON AMANDINE;33646561302;"[""Rehabilitation""]";4 RUE DES JARDINS, LE THEIL, FRANCE;;;;46,3553881;3,1330097
569;AMAR STEPHANIE;33617963333;"[""Rehabilitation""]";1 QUAI DES MARCHANDS, DEAUVILLE, FRANCE;;;;49,3653122;0,0722428
570;TRUCHET ERIC/ MUSSOT PIERRE;33491431209;"[""Rehabilitation""]";18 AVENUE CESAR BOY, MARSEILLE, FRANCE;;;;43,2966895;5,4832466
571;SUSANT CELINE;33327587421;"[""Rehabilitation""]";18 RUE DE BEAUMONT, 59740 SOLRE-LE-CHÂTEAU, FRANCE;;;;50,1750342;4,093234
572;DELALANDE PATRICIA - POLE DE SANTE EPIONE;33 5 58 97 78 79;"[""Rehabilitation"",""Uro & Pelvic Floor""]";20 RUE CHARLES GOUNOD; SAINT-PAUL-LÈS-DAX;40990;FRANCE;43.727999987885; -1.075959010551
573;THOMAS JULIEN/ CONSTANTINI KARINE/ BASTIN SYLVIE;33493284605;"[""Rehabilitation""]";18 AVENUE COCHRANE, MENTON, FRANCE;;;;43,7720692;7,4923951
574;WASCINSKI NATASCHA;3211261944;"[""Rehabilitation""]";MAASTRICHTERSTEENWEG 314, HASSELT, BELGIUM;;;;50,9259907;5,3667765
575;DR HOCHART-MISLANGHE;33328624408;"[""Rehabilitation""]";ROUTE DE SAINT-OMER, LEDERZEELE, FRANCE;;;;50,8092114;2,2924868
576;AQUAPHYSIOSPORT - M. PETITBOIS & M. ROSTAN ARNAUD;33494384420;"[""Rehabilitation""]";1418 AVENUE DU COLONNEL PICOT;;;;43,1307224;5,9704326
577;JOST NOLWENN;33652009296;"[""Rehabilitation""]";43 RUE DE VERDUN, 91700 VILLIERS-SUR-ORGE, FRANCE;;;;48,6530115;2,2908687
578;LECOCQ MATHIEU/LEMOINE VINCENT/DESCHAMPS EMMANUEL;33321641266;"[""Rehabilitation""]";66 BOULEVARD JEAN MOULIN, BETHUNE, FRANCE;;;;50,5281102;2,6412731
579;DOUNON ERIC;33386594661;"[""Rehabilitation""]";6 RUE DES HÂTEES, COULANGES-LÈS-NEVERS, FRANCE;;;;47,0105233;3,1673316
580;VO JEAN DAVID;33648291957;"[""Rehabilitation""]";1 RUE GANDON;;;;48,8224194;2,3602549
581;RENAUD JEREMY;33559242848;"[""Rehabilitation""]";MENDIONDOA, SARE, FRANCE;;;;43,320087;-1,57808
582;SAGE FEMME : NEVEU PAULINE;33619284100;"[""Rehabilitation""]";9 RUE ERNEST CRESSON, PARIS, FRANCE;;;;48,8325232;2,3291938
583;SPORT MONTIGNY;33139320896;"[""Rehabilitation""]";1 RUE DES DUCHESNES, MONTIGNY-LÈS-CORMEILLES, FRANCE;;;;48,9936074;2,1919168
584;DR SENE JEAN MARC ET GUEGAN KEVIN;33143365564;"[""Rehabilitation""]";13 BOULEVARD SAINT-MARCEL, PARIS, FRANCE;;;;48,8390943;2,3599784
585;TROCELLIER SANDRINE;33467638936;"[""Rehabilitation"",""Uro & Pelvic Floor""]";198 ALLEE DE LAUZARD, 34980 SAINT-GELY-DU-FESC, FRANCE;;;;43,6778712;3,8158657
586;DEVIN ALAIN;33321822453;"[""Rehabilitation""]";1207 ROUTE NATIONALE, LES ATTAQUES, FRANCE;;;;50,9076493;1,9352525
587;STEHI AMAURY;33321775704;"[""Rehabilitation""]";2 RUE DU CAPITAINE DULIEUX, DOUVRIN, FRANCE;;;;50,5084909;2,8361651
588;VILLARD AURELIEN;33477745539;"[""Rehabilitation""]";77 AVENUE ALBERT RAIMOND, ST-PRIEST-EN-JAREZ, FRANCE;;;;45,4779245;4,3658573
589;LECLAIR ANTHONY;33477469045;"[""Rehabilitation""]";183 RUE BERGSON, SAINT-ETIENNE, FRANCE;;;;45,4624148;4,3803672
590;KOWALSKA KLAUDIA;33675140271;"[""Rehabilitation""]";17 AVENUE GASTELLIER, COULOMMIERS, FRANCE;;;;48,8169687;3,0845349
591;VONIE JULIEN;33388032986;"[""Rehabilitation""]";8 RUE DE LA GARE, WINGEN-SUR-MODER, FRANCE;;;;48,9195102;7,3811291
592;RUBIN STEPHANE, GREAU GEOFFREY, MARTIN GUILLAUME;33253571175;"[""Rehabilitation""]";137 RUE SAUMUROISE, ANGERS, FRANCE;;;;47,4569849;-0,5317075
593;AYDOGDU OSMAN;33164262014;"[""Rehabilitation""]";RUE DES CHÊNES, BROU-SUR-CHANTEREINE, FRANCE;;;;48,8854789;2,62864
594;CHU MARSEILLE NORD;;"[""Uro & Pelvic Floor""]";CHEMIN DES BOURRELY, 13015 MARSEILLE;;;;43,296482;5,36978
595;RAYE MATTHIEU;33675153609;"[""Rehabilitation""]";20 AVENUE DE L'ALOUETTE, MERIGNAC, FRANCE;;;;44,827545;-0,6630749
596;CLINICA NOVA PHYSIO;35217265425;"[""Rehabilitation""]";RUA ANTÓNIO MACHADO, CASCAIS, LISBON, PORTUGAL;;;;38,7279778;-9,3284399
597;HOSPITAL ESCOLA FERNANDO PESSOA;35222455455;"[""Rehabilitation""]";AV. FERNANDO PESSOA 150, SÃO COSME, GONDOMAR, PORTUGAL;;;;41,1249572;-8,5418454
598;FISIOPRIME FISIOTERAPIA E REABILITAÇAO;35919088650;"[""Rehabilitation""]";RUA DOS CAMPOS VERDES 16, MOREIRA, MAIA, PORTUGAL;;;;41,2565914;-8,6460833
599;FISIO REABILITAÇAO FISICA E ESTETICA CLINICA;35252330866;"[""Rehabilitation"",""Uro & Pelvic Floor""]";AV. 25 DE ABRIL 60, VILA NOVA DE FAMALICÃO, PORTUGAL;;;;41,4084622;-8,5201024
600;CLINICA DE REAILITAÇAO - DR JOSE OLIVEIRA;35258821445;"[""Rehabilitation""]";AVENIDA 25 DE ABRIL, VIANA DO CASTELO, PORTUGAL;;;;41,6959825;-8,8320507
601;SERGIO FRADE;35918748741;"[""Rehabilitation""]";RUA DE ALFREDO CUNHA, MATOSINHOS, PORTUGAL;;;;41,1850703;-8,6807074
602;MONTPELLIER RUGBY;;"[""Sport""]";ALTRAD STADIUM - COMPLEXE YVES DU MANOIR, AVENUE DE VANIÈRES, MONTPELLIER, FRANCE;;;;43,5931105;3,8497746
603;LEMAIRE VINCENT;33686970309;"[""Rehabilitation""]";POMPIDOU, VANNES, FRANCE;;;;47,6663664;-2,76959
604;JACQUET MICHEL;33788429365;"[""Rehabilitation""]";7 RUE DES POMMIERS, SAINTE-FEYRE, FRANCE;;;;46,139521;1,91504
605;MIGNOT ALICE;33235074847;"[""Rehabilitation""]";28 RUE DU GENERAL LECLERC, SOTTEVILLE-LÈS-ROUEN, FRANCE;;;;49,4146647;1,0777077
606;MORLION NATHALIE;33608632310;"[""Rehabilitation""]";7 PLACE DE L’EUROPE, GRANDE-SYNTHE, FRANCE;;;;51,0149731;2,3027596
607;ESTETICA SALUDABLE S.L. SARA MARIN;34915465465;"[""Uro & Pelvic Floor""]";AVENIDA OLÍMPICA, 26, ALCOBENDAS, SPAIN;;;;40,5359144;-3,6371782
608;CLÍNICA INTEGRATIVA BARCELONA;34931051188;"[""Rehabilitation""]";CARRER DEL PUTGET, 5, BARCELONA, SPAIN;;;;41,40439;2,1422818
609;SAGE FEMME : GENGEMBRE VICKY;33466815760;"[""Uro & Pelvic Floor""]";4 BOULEVARD DES ALLIES, UZÈS, FRANCE;;;;44,0111239;4,4174794
610;SAGE FEMME : DEBANNE SOPHIE;33466289504;"[""Uro & Pelvic Floor""]";300 AVENUE SAINT-ANDRE DE CODOLS, NIMES, FRANCE;;;;43,8169048;4,3551622
611;SAGE FEMME : ARCUCCI AURORE;33662265122;"[""Uro & Pelvic Floor""]";387 AVENUE DU PLAN DE CAMPAGNE, LES PENNES-MIRABEAU, FRANCE;;;;43,4111387;5,3257084
612;SAGE FEMME : GILLET SOPHIE;33494674981;"[""Uro & Pelvic Floor""]";45 CHEMIN SAINT-JEAN, DRAGUIGNAN, FRANCE;;;;43,5233339;6,4723935
613;SAGE FEMME : FABRE CLERGUE CHANTAL;;"[""Uro & Pelvic Floor""]";6 BOULEVARD BOURRE, MARSEILLE, FRANCE;;;;43,2417861;5,3728099
614;FEDERATION FRANÇAISE DE CYCLISME;;"[""Sport""]";VELODROME NATIONAL, MONTIGNY-LE-BRETONNEUX, FRANCE;;;;48,7880239;2,0348441
615;CENTRE DE REEDUCATION BEGLES;33556859416;"[""Rehabilitation""]";54 RUE PIERRE ET MARIE CURIE, BÈGLES, FRANCE;;;;44,8104493;-0,5554338
616;GAILLAUD MICHEL;33493067593;"[""Rehabilitation""]";33 BOULEVARD D'OXFORD, CANNES, FRANCE;;;;43,5650094;7,0282385
617;SCM KINE GLOBAL;33547999801;"[""Rehabilitation"",""Uro & Pelvic Floor""]";1 RUE JEAN MALBEC;;;;44,4159602;0,6683649
618;AURIOL LUCIE;33143730720;"[""Rehabilitation"",""Uro & Pelvic Floor""]";52 RUE DE MONTREUIL;;;;48,8502552;2,3892253
619;GALLAND LAURENT;33558789464;"[""Rehabilitation""]";199 RUE LAMARTINE, PARENTIS-EN-BORN, FRANCE;;;;44,3537501;-1,077835
620;VALENCIA FABIEN;33470968245;"[""Rehabilitation""]";62 AVENUE DES CELESTINS, VICHY, FRANCE;;;;46,12372;3,4291362
621;RACING STRASBOURG PRO;;"[""Rehabilitation""]";STRASBOURG, FRANCE;;;;48,5734053;7,7521113
622;GRONNIER FANNY;33983680765;"[""Rehabilitation""]";45 BOULEVARD FRANÇOIS MITTERRAND;;;;47,2194699;-1,642283
623;SCO ANGERS;;"[""Sport""]";58 PROMENADE DE LA BAUMETTE, ANGERS, FRANCE;;;;47,4545462;-0,5743742
624;MME POUFFARIN & MR BARIAL;33139495548;"[""Rehabilitation"",""Uro & Pelvic Floor""]";35 RUE DU MARECHAL FOCH, VERSAILLES, FRANCE;;;;48,8080287;2,1323171
625;GILBERT SARAH;33661766834;"[""Rehabilitation""]";2 RUE DES CARMES, TARBES, FRANCE;;;;43,2323444;0,0833753
626;GUINGAND DAVID;33477369062;"[""Rehabilitation""]";4 PLACE DU 11 NOVEMBRE, BONSON, FRANCE;;;;45,5227429;4,2147528
627;ESCROART ROMUALD;33329910589;"[""Rehabilitation""]";9 RUE DE LA BUANDERIE, SAINT-MIHIEL, FRANCE;;;;48,8890872;5,5398624
628;RENARD GUILLAUME;33321675515;"[""Rehabilitation""]";9 RUE DU 8 MAI 1945, LOOS-EN-GOHELLE, FRANCE;;;;50,4583019;2,7924575
629;POINLOUP FABIEN;33668135140;"[""Rehabilitation"",""Uro & Pelvic Floor""]";111 BOULEVARD DE STRASBOURG, AULNAY-SOUS-BOIS, FRANCE;;;;48,9233943;2,4858999
630;DELANGHE CAROLINE;;"[""Rehabilitation""]";8 RUE DE LA LIBERATION, LONGUENESSE, FRANCE;;;;50,7420856;2,2607836
631;AUSSAVY BENJAMIN;33345027487;"[""Rehabilitation""]";64 GR GRANDE RUE, 89290 VINCELLES, FRANCE;;;;47,703323;3,633347
632;EUREHA;32478632782;"[""Rehabilitation""]";AACHENER STRAßE 78, EUPEN, BELGIUM;;;;50,6348974;6,0356599
633;JUGURTHA MEDICAL;21671843571;"[""Rehabilitation""]";90 AVENUE JUGURTHA, TUNIS, TUNISIA;;;;36,8313897;10,1689162
634;CENTRO DE FISIOTERAPIA CLEMENT;34639729835;"[""Rehabilitation""]";CALLE FEDERICO CHOPIN, EL ALQUIÁN, SPAIN;;;;36,8525259;-2,3517984
635;FISIOTERAPIA TARSO;34950386398;"[""Rehabilitation""]";AVENIDA PRÍNCIPE DE ASTURIAS, 11, CAMPOHERMOSO, SPAIN;;;;36,9398411;-2,1384461
636;CENTRO AVANZADO DE MEDICINA DEPORTIVA - CAMDE;34663216571;"[""Rehabilitation""]";CALLE MARILYN MONROE, MÁLAGA, SPAIN;;;;36,6804328;-4,4549039
637;2KINISIS SRL REHABILITATION CENTER;;"[""Rehabilitation""]";STRADA CUZA VOD? BUCURE?TI ROUMANIE;;;;44,4194932;26,1057291
638;TOURNAKIS GEORGE DOCTOR OF PHYSICAL THERAPY;;"[""Rehabilitation""]";KODROU 31, CHALANDRI, GREECE;;;;38,0152481;23,7898809
639;PSALTOPOULOS SPYRIDON;;"[""Rehabilitation""]";IPEIROU 39, DRAMA, GREECE;;;;41,1458073;24,148192
640;DANIEL WALDMAN;13056131966;"[""Rehabilitation"",""Uro & Pelvic Floor""]";104 CRANDON BOULEVARD, KEY BISCAYNE, FL, UNITED STATES;;;;25,6982947;-80,1637883
641;CK2S;33493617334;"[""Rehabilitation""]";1050 ROUTE DE LA MER, BIOT, FRANCE;;;;43,6206861;7,1067548
642;STEVENS ANNELIES;32499236460;"[""Rehabilitation""]";PEISEGEMSTRAAT 34, MERCHTEM, BELGIUM;;;;50,9833192;4,2296709
643;CLINIQUE AMBROISE PARE - SERVICE KINESITHERAPIE;33561501611;"[""Rehabilitation""]";378 ROUTE DE SAINT-SIMON, TOULOUSE, FRANCE;;;;43,5898092;1,4155314
644;DE BUHAN DELPHINE & CAUJOLLE ERIC;33556088376;"[""Rehabilitation""]";223 AVENUE LOUIS BARTHOU, BORDEAUX, FRANCE;;;;44,8525375;-0,6187281
645;DELANOS ERWAN;33970359607;"[""Rehabilitation""]";5 RUE DE BREA, NANTES, FRANCE;;;;47,2113246;-1,5651313
646;LE LAY LUC;33238380874;"[""Rehabilitation""]";26 AVENUE PRESIDENT WILSON, GIEN, FRANCE;;;;47,6917364;2,6309966
647;LEMARCHAND MURIEL;33494595691;"[""Rehabilitation""]";4 RUE GEORGES CLEMENCEAU, COTIGNAC, FRANCE;;;;43,5276727;6,1502957
648;CLINIQUE DE LA GROGNARDE;33491446927;"[""Rehabilitation""]";AVENUE DE LA GROGNARDE, MARSEILLE, FRANCE;;;;43,2910613;5,436003
649;MILLOT EMELINE;33386444760;"[""Rehabilitation""]";89520 LES BILLARDS, SOUGÈRES-EN-PUISAYE, FRANCE;;;;47,551832;3,3495339
650;DAVID DIDIER;33442038903;"[""Rehabilitation""]";9 AVENUE DES GOUMS, AUBAGNE, FRANCE;;;;43,2923466;5,5642794
651;DRAME MASSIRE;33984082455;"[""Rehabilitation""]";72 RUE DE LA SOLIDARITE, MONTREUIL, FRANCE;;;;48,8526059;2,4460591
652;VINCENT CLAIRE;35227769695;"[""Rehabilitation"",""Uro & Pelvic Floor""]";9 RUE DU MOULIN;;;;49,54806;5,931821
653;FC NANTES;;"[""Sport""]";ROUTE DE LA JONELIÈRE, LA CHAPELLE-SUR-ERDRE, FRANCE;;;;47,2792325;-1,5402599
654;MISSAYKE BILAL;33383377889;"[""Rehabilitation""]";26 RUE SAINT-DIZIER, NANCY, FRANCE;;;;48,6909989;6,182177
655;JOLY MAXIME;41795695837;"[""Rehabilitation""]";NEUCHÂTEL XAMAX FCS • QUAI ROBERT-COMTESSE 3 • 2001 NEUCHÂTEL, SUISSE;;;;46,818188;8,227512
656;BLAISON ROMUALD;33388556270;"[""Rehabilitation"",""Uro & Pelvic Floor""]";171 ROUTE DE LYON, ILLKIRCH, FRANCE;;;;48,530222;7,7123806
657;PISIOU CEDRICK;;"[""Rehabilitation""]";GOURBEYRE, GUADELOUPE,FRANCE;;;;15,9897804;-61,6830286
